FirmID,CostSysID,PACP,ACP,PDR,MPE
1,1,2,1,0,0.341869187
1,2,2,2,0,0.369565423
1,3,2,4,0,0.317357357
1,4,2,6,0,0.297585233
1,5,2,8,0,0.288156443
1,6,2,10,0,0.286756095
1,7,2,12,0,0.28958705
1,8,2,14,0,0.282518498
1,9,2,16,0,0.289505065
1,10,2,18,0,0.283030719
1,11,2,20,0,0.292059229
2,1,2,1,0,0.373433857
2,2,2,2,0,0.373236059
2,3,2,4,0,0.355768866
2,4,2,6,0,0.317102172
2,5,2,8,0,0.304876713
2,6,2,10,0,0.288155177
2,7,2,12,0,0.285043345
2,8,2,14,0,0.280386414
2,9,2,16,0,0.294797192
2,10,2,18,0,0.278057988
2,11,2,20,0,0.274917894
3,1,2,1,0,0.389488699
3,2,2,2,0,0.348609846
3,3,2,4,0,0.225313756
3,4,2,6,0,0.204310531
3,5,2,8,0,0.193618767
3,6,2,10,0,0.180774908
3,7,2,12,0,0.187665093
3,8,2,14,0,0.189016228
3,9,2,16,0,0.18257002
3,10,2,18,0,0.177743925
3,11,2,20,0,0.184995404
4,1,2,1,0,0.261716272
4,2,2,2,0,0.28523306
4,3,2,4,0,0.310823451
4,4,2,6,0,0.285388172
4,5,2,8,0,0.294134926
4,6,2,10,0,0.291790305
4,7,2,12,0,0.258315475
4,8,2,14,0,0.256250805
4,9,2,16,0,0.241440223
4,10,2,18,0,0.244412162
4,11,2,20,0,0.258641815
5,1,2,1,0,0.374261239
5,2,2,2,0,0.442389002
5,3,2,4,0,0.481276752
5,4,2,6,0,0.463194264
5,5,2,8,0,0.437207754
5,6,2,10,0,0.411818042
5,7,2,12,0,0.379087042
5,8,2,14,0,0.356060374
5,9,2,16,0,0.37361408
5,10,2,18,0,0.364602253
5,11,2,20,0,0.275261591
6,1,2,1,0,0.450877928
6,2,2,2,0,0.436825202
6,3,2,4,0,0.458290621
6,4,2,6,0,0.41657979
6,5,2,8,0,0.394582331
6,6,2,10,0,0.389591833
6,7,2,12,0,0.403514416
6,8,2,14,0,0.363880092
6,9,2,16,0,0.379268598
6,10,2,18,0,0.389281757
6,11,2,20,0,0.379423845
7,1,2,1,0,0.427119554
