FirmID,CostSysID,PACP,ACP,PDR,MPE
1,1,0,1,0,0.341869187
1,2,0,2,0,0.591386871
1,3,0,4,0,0.575991215
1,4,0,6,0,0.599365816
1,5,0,8,0,0.518740439
1,6,0,10,0,0.424614637
1,7,0,12,0,0.445848886
1,8,0,14,0,0.329956277
1,9,0,16,0,0.295116748
1,10,0,18,0,0.29425789
1,11,0,20,0,0.213573618
2,1,0,1,0,0.362932519
2,2,0,2,0,0.802211645
2,3,0,4,0,0.623286028
2,4,0,6,0,0.476083889
2,5,0,8,0,0.507508369
2,6,0,10,0,0.61472745
2,7,0,12,0,0.531536891
2,8,0,14,0,0.53577023
2,9,0,16,0,0.526732207
2,10,0,18,0,0.322100892
2,11,0,20,0,0.287656793
3,1,0,1,0,0.333908139
3,2,0,2,0,0.631066352
3,3,0,4,0,0.565980167
3,4,0,6,0,0.492598071
3,5,0,8,0,0.550180968
3,6,0,10,0,0.365006144
3,7,0,12,0,0.3472056
3,8,0,14,0,0.296989199
3,9,0,16,0,0.256964991
3,10,0,18,0,0.242514346
3,11,0,20,0,0.217274688
4,1,0,1,0,0.420586249
4,2,0,2,0,0.636179337
4,3,0,4,0,0.551573936
4,4,0,6,0,0.506794056
4,5,0,8,0,0.49009347
4,6,0,10,0,0.378671891
4,7,0,12,0,0.349692451
4,8,0,14,0,0.295731634
4,9,0,16,0,0.28048404
4,10,0,18,0,0.261374665
4,11,0,20,0,0.202000282
5,1,0,1,0,0.434711363
5,2,0,2,0,0.582545012
5,3,0,4,0,0.578181577
5,4,0,6,0,0.44039026
5,5,0,8,0,0.476645264
5,6,0,10,0,0.397397035
5,7,0,12,0,0.400437949
5,8,0,14,0,0.293298795
5,9,0,16,0,0.387730975
5,10,0,18,0,0.277611439
5,11,0,20,0,0.224190968
6,1,0,1,0,0.440065747
6,2,0,2,0,0.642304282
6,3,0,4,0,0.584475787
6,4,0,6,0,0.604777201
6,5,0,8,0,0.575704634
6,6,0,10,0,0.50487588
6,7,0,12,0,0.537595718
6,8,0,14,0,0.381244182
6,9,0,16,0,0.402440813
6,10,0,18,0,0.507005046
6,11,0,20,0,0.329271438
7,1,0,1,0,0.470292552
7,2,0,2,0,0.94650509
7,3,0,4,0,0.953262671
7,4,0,6,0,0.612920474
7,5,0,8,0,0.60168467
7,6,0,10,0,0.505745435
7,7,0,12,0,0.55833711
7,8,0,14,0,0.421991346
7,9,0,16,0,0.349699722
7,10,0,18,0,0.324390276
7,11,0,20,0,0.342490715
8,1,0,1,0,0.497778103
8,2,0,2,0,0.77937194
8,3,0,4,0,0.798638018
8,4,0,6,0,0.706404248
8,5,0,8,0,0.876643298
8,6,0,10,0,0.597343836
8,7,0,12,0,0.682865737
8,8,0,14,0,0.575127818
8,9,0,16,0,0.537366117
8,10,0,18,0,0.474954611
8,11,0,20,0,0.385304961
9,1,0,1,0,0.388645756
9,2,0,2,0,0.54067104
9,3,0,4,0,0.525652138
9,4,0,6,0,0.601338805
9,5,0,8,0,0.465213145
9,6,0,10,0,0.442893896
9,7,0,12,0,0.347306981
9,8,0,14,0,0.328939548
9,9,0,16,0,0.321388763
9,10,0,18,0,0.264866494
9,11,0,20,0,0.23477088
10,1,0,1,0,0.377959531
10,2,0,2,0,0.65165595
10,3,0,4,0,0.589971848
10,4,0,6,0,0.405765321
10,5,0,8,0,0.346445361
10,6,0,10,0,0.352908283
10,7,0,12,0,0.358025693
10,8,0,14,0,0.253002155
10,9,0,16,0,0.260788491
10,10,0,18,0,0.244261685
10,11,0,20,0,0.187662388
11,1,0,1,0,0.500570466
11,2,0,2,0,0.722443252
11,3,0,4,0,0.572217318
11,4,0,6,0,0.676014344
11,5,0,8,0,0.545307607
11,6,0,10,0,0.451502362
11,7,0,12,0,0.452969452
11,8,0,14,0,0.484724107
11,9,0,16,0,0.340645583
11,10,0,18,0,0.336583663
11,11,0,20,0,0.297726637
12,1,0,1,0,0.438875932
12,2,0,2,0,0.560835881
12,3,0,4,0,0.520096706
12,4,0,6,0,0.498223584
12,5,0,8,0,0.683016785
12,6,0,10,0,0.601965604
12,7,0,12,0,0.528628802
12,8,0,14,0,0.44339655
12,9,0,16,0,0.368427463
12,10,0,18,0,0.349100487
12,11,0,20,0,0.411813801
13,1,0,1,0,0.391324772
13,2,0,2,0,0.751513115
13,3,0,4,0,0.604015182
13,4,0,6,0,0.552948439
13,5,0,8,0,0.474580388
13,6,0,10,0,0.457612688
13,7,0,12,0,0.329240669
13,8,0,14,0,0.429310607
13,9,0,16,0,0.262654338
13,10,0,18,0,0.255261871
13,11,0,20,0,0.269317477
14,1,0,1,0,0.429529939
14,2,0,2,0,0.784986326
14,3,0,4,0,0.679593506
14,4,0,6,0,0.600394351
14,5,0,8,0,0.547234991
14,6,0,10,0,0.448977303
14,7,0,12,0,0.407021765
14,8,0,14,0,0.434931025
14,9,0,16,0,0.375934408
14,10,0,18,0,0.318730946
14,11,0,20,0,0.310552023
15,1,0,1,0,0.472261626
15,2,0,2,0,0.80997372
15,3,0,4,0,0.713604475
15,4,0,6,0,0.582734458
15,5,0,8,0,0.4914882
15,6,0,10,0,0.457543978
15,7,0,12,0,0.460929605
15,8,0,14,0,0.408845559
15,9,0,16,0,0.301520513
15,10,0,18,0,0.191011502
15,11,0,20,0,0.242640373
16,1,0,1,0,0.42833393
16,2,0,2,0,0.785024894
16,3,0,4,0,0.6821689
16,4,0,6,0,0.61636248
16,5,0,8,0,0.510924667
16,6,0,10,0,0.572665848
16,7,0,12,0,0.445763426
16,8,0,14,0,0.459635355
16,9,0,16,0,0.458926094
16,10,0,18,0,0.344332329
16,11,0,20,0,0.339172743
17,1,0,1,0,0.439180081
17,2,0,2,0,0.777520664
17,3,0,4,0,0.741270341
17,4,0,6,0,0.577274616
17,5,0,8,0,0.489684706
17,6,0,10,0,0.585442196
17,7,0,12,0,0.54559923
17,8,0,14,0,0.458954542
17,9,0,16,0,0.509494136
17,10,0,18,0,0.402482621
17,11,0,20,0,0.406752314
18,1,0,1,0,0.307880208
18,2,0,2,0,0.817664676
18,3,0,4,0,0.814734988
18,4,0,6,0,0.808593942
18,5,0,8,0,0.649221938
